Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,46.340000,46.633999,45.962002,46.004002,31.807257,516675
2000-01-04,46.340000,46.396000,42.195999,44.001999,30.423077,1036500
2000-01-05,42.672001,42.672001,39.998001,40.698002,28.138680,1354725
2000-01-06,40.334000,42.993999,40.334000,42.237999,29.203442,630975
2000-01-07,42.938000,44.268002,41.467999,43.330002,29.958437,2045100
2000-01-10,44.604000,45.136002,44.338001,44.939999,31.071602,1073250
2000-01-11,48.006001,50.400002,47.334000,48.006001,33.191444,6332550
2000-01-12,47.936001,48.594002,47.459999,48.006001,33.191444,1094850
2000-01-13,48.006001,52.598000,48.006001,52.066002,35.998528,2156700
2000-01-14,52.667999,55.271999,52.402000,54.669998,37.798950,2206800
2000-01-17,56.000000,57.259998,54.669998,56.672001,39.183125,1872150
2000-01-18,58.338001,59.472000,52.737999,55.664001,38.486198,1405800
2000-01-19,52.737999,55.467999,52.066002,53.998001,37.334328,892200
2000-01-20,55.006001,55.860001,53.998001,54.096001,37.402084,335175
2000-01-21,54.334000,55.062000,53.340000,53.928001,37.285927,620925
2000-01-24,53.535999,54.068001,52.066002,53.270000,36.830982,661575
2000-01-25,50.666000,52.933998,50.666000,52.164001,36.066299,748950
2000-01-26,52.793999,58.099998,52.528000,56.630001,39.154095,824325
2000-01-27,57.330002,57.330002,55.062000,56.560001,39.105694,438150
2000-01-28,56.602001,58.268002,55.271999,58.198002,40.238201,1345950
2000-01-31,56.798000,57.806000,55.327999,56.000000,38.718517,460425
2000-02-01,55.734001,58.534000,55.734001,58.534000,40.470528,628950
2000-02-02,58.534000,60.004002,56.993999,60.004002,41.486885,786525
2000-02-03,61.334000,66.598000,60.661999,63.335999,43.790630,1792725
2000-02-04,64.036003,65.197998,60.801998,63.405998,43.839031,491175
2000-02-07,63.335999,64.470001,63.070000,64.260002,44.429485,637125
2000-02-08,63.868000,64.596001,63.405998,64.204002,44.390778,571050
2000-02-09,64.064003,70.000000,63.868000,67.998001,47.013950,2807475
2000-02-10,67.339996,68.501999,66.695999,67.872002,46.926838,1044225
2000-02-11,68.334000,72.001999,68.334000,68.739998,47.526974,498000
2000-02-14,68.865997,73.863998,68.529999,72.660004,50.237263,1144500
2000-02-15,75.334000,79.940002,70.000000,70.000000,48.398136,1541475
2000-02-16,72.940002,76.005997,69.005997,70.265999,48.582043,1141950
2000-02-17,70.671997,77.769997,70.265999,76.103996,52.618443,1078650
2000-02-18,76.202003,78.204002,74.339996,75.669998,52.318371,1146525
2000-02-21,72.660004,73.304001,68.403999,69.496002,48.049675,1130925
2000-02-22,69.005997,74.634003,68.669998,69.398003,47.981926,891300
2000-02-23,72.870003,73.332001,69.005997,69.734001,48.214233,959475
2000-02-24,70.671997,76.594002,70.405998,74.872002,51.766647,1128300
2000-02-25,75.334000,81.339996,75.334000,80.332001,55.541695,3037800
2000-02-28,80.472000,85.470001,75.529999,77.139999,53.334755,974025
2000-02-29,79.337997,81.339996,77.994003,77.994003,53.925198,491250
2000-03-01,86.660004,88.003998,81.928001,84.531998,58.445583,1590900
2000-03-02,88.003998,88.872002,84.461998,88.872002,61.446259,1086600
2000-03-03,89.935997,89.935997,87.332001,87.667999,60.613831,918525
2000-03-06,101.206001,101.206001,94.136002,96.669998,66.837822,2067300
2000-03-07,97.005997,99.666000,92.666000,97.328003,67.292763,1333650
2000-03-08,94.332001,99.666000,91.671997,99.666000,68.909256,1186425
2000-03-09,100.001999,100.127998,97.664001,99.959999,69.112534,691425
2000-03-10,100.127998,103.068001,100.071999,100.197998,69.277084,776475
2000-03-13,100.197998,100.197998,100.197998,100.197998,69.277084,0
2000-03-14,92.036003,96.669998,91.994003,93.267998,64.485695,858675
2000-03-15,90.005997,90.328003,84.531998,86.660004,59.916874,1202175
2000-03-16,83.328003,86.197998,79.996002,82.669998,57.158199,1033575
2000-03-17,85.931999,87.793999,84.671997,86.337997,59.694244,1103475
2000-03-20,86.365997,89.334000,85.330002,85.330002,58.997318,662475
2000-03-21,84.000000,84.994003,77.994003,80.933998,55.957909,846900
2000-03-22,84.461998,86.337997,83.468002,85.330002,58.997318,1221225
2000-03-23,86.001999,88.199997,85.330002,86.660004,59.916874,1493100
2000-03-24,84.994003,94.528000,84.994003,94.528000,65.356850,961050
2000-03-27,99.260002,101.598000,95.339996,100.127998,69.228706,954450
2000-03-28,100.660004,103.334000,99.064003,103.334000,71.445335,691725
2000-03-29,101.332001,101.639999,98.994003,100.071999,69.189980,447375
2000-03-30,95.662003,96.334000,90.272003,92.470001,63.933922,888300
2000-03-31,89.669998,95.339996,86.996002,91.335999,63.149887,974100
2000-04-03,93.197998,93.337997,84.994003,86.660004,59.916874,1114275
2000-04-04,78.666000,93.337997,78.666000,93.337997,64.534058,1721250
2000-04-05,91.461998,91.994003,75.837997,79.996002,55.309383,2397225
2000-04-06,86.660004,89.194000,82.795998,86.800003,60.013683,1179825
2000-04-07,90.005997,91.994003,86.660004,88.003998,60.846153,1071750
2000-04-10,92.666000,93.337997,90.328003,90.328003,62.452953,753150
2000-04-11,83.706001,93.337997,83.664001,91.671997,63.382210,935175
2000-04-12,91.994003,93.267998,88.536003,89.334000,61.765690,663825
2000-04-13,85.330002,90.664001,84.671997,87.737999,60.662197,416700
2000-04-14,89.068001,89.068001,81.662003,83.930000,58.029373,824100
2000-04-17,78.666000,84.335999,75.459999,84.335999,58.310066,1205550
2000-04-18,87.933998,88.003998,81.732002,85.260002,58.948929,1077150
2000-04-19,82.669998,86.660004,82.669998,85.666000,59.229656,840600
2000-04-20,85.834000,86.533997,85.134003,86.393997,59.732986,447675
2000-04-21,86.393997,86.393997,86.393997,86.393997,59.732986,0
2000-04-24,86.393997,86.393997,86.393997,86.393997,59.732986,0
2000-04-25,86.337997,86.337997,81.998001,84.671997,58.542381,448350
2000-04-26,86.001999,87.667999,84.000000,86.660004,59.916874,904500
2000-04-27,88.129997,91.671997,85.666000,90.005997,62.230316,1825500
2000-04-28,91.671997,91.671997,90.061996,91.195999,63.053093,1011150
2000-05-01,91.195999,91.195999,91.195999,91.195999,63.053093,0
2000-05-02,91.000000,93.996002,91.000000,91.195999,63.053093,1114575
2000-05-03,91.000000,91.994003,88.129997,89.669998,61.998020,303525
2000-05-04,88.998001,90.468002,88.802002,89.334000,61.765690,350550
2000-05-05,89.334000,90.328003,86.800003,89.334000,61.765690,798150
2000-05-08,89.334000,89.865997,86.127998,89.334000,61.765690,432150
2000-05-09,89.334000,89.334000,89.334000,89.334000,61.765690,0
2000-05-10,86.730003,87.500000,85.666000,86.702003,59.945946,972600
2000-05-11,85.540001,89.669998,85.330002,89.334000,61.765690,1223325
2000-05-12,90.664001,90.664001,88.872002,89.529999,61.901192,555150
2000-05-15,89.529999,89.529999,89.529999,89.529999,61.901192,0
2000-05-16,91.000000,93.996002,90.398003,92.400002,63.885544,1005675
2000-05-17,93.337997,93.660004,92.134003,93.463997,64.621208,602625
2000-05-18,93.561996,94.500000,92.736000,93.337997,64.534058,782925
2000-05-19,93.463997,93.603996,87.402000,88.662003,61.301086,1127250
2000-05-22,89.334000,89.935997,76.734001,76.734001,53.054050,1638525
2000-05-23,79.996002,81.339996,72.730003,73.332001,50.701893,4187475
2000-05-24,69.328003,73.332001,66.737999,73.332001,50.701893,2046750
2000-05-25,78.666000,80.667999,76.734001,79.239998,54.786686,877050
2000-05-26,78.596001,80.639999,77.293999,77.335999,53.470272,300225
2000-05-29,80.667999,80.667999,78.064003,79.127998,54.709251,277500
2000-05-30,79.001999,82.669998,78.400002,82.138000,56.790379,715575
2000-05-31,83.272003,85.260002,82.166000,83.930000,58.029373,845850
2000-06-01,84.671997,86.632004,84.070000,86.632004,59.897533,346350
2000-06-02,90.664001,91.994003,87.737999,91.994003,63.604839,1013250
2000-06-05,91.000000,94.528000,91.000000,94.528000,65.356850,705375
2000-06-06,93.337997,94.528000,90.005997,90.005997,62.230316,766875
2000-06-07,89.334000,89.935997,85.372002,88.129997,60.933247,744000
2000-06-08,89.865997,93.267998,89.138000,92.064003,63.653236,1088700
2000-06-09,91.363998,95.031998,91.363998,94.793999,65.540749,822450
2000-06-12,94.793999,94.793999,94.793999,94.793999,65.540749,0
2000-06-13,92.764000,94.430000,88.662003,91.896004,63.537090,801975
2000-06-14,92.330002,93.197998,91.000000,91.699997,63.401562,826725
2000-06-15,91.000000,92.596001,89.403999,90.860001,62.820789,422925
2000-06-16,91.867996,92.134003,88.339996,90.734001,62.733677,770925
2000-06-19,90.734001,90.734001,90.734001,90.734001,62.733677,0
2000-06-20,90.762001,91.461998,86.660004,89.767998,62.065773,1603125
2000-06-21,90.664001,90.804001,85.372002,87.332001,60.381508,1630575
2000-06-22,86.660004,90.664001,86.660004,88.003998,60.846153,751200
2000-06-23,88.003998,89.138000,84.699997,86.996002,60.149197,960075
2000-06-26,88.003998,88.662003,86.603996,87.304001,60.362148,1750275
2000-06-27,88.339996,88.662003,82.264000,83.664001,57.845463,1142700
2000-06-28,83.398003,84.671997,81.003998,84.671997,58.542381,899550
2000-06-29,85.134003,85.134003,76.202003,76.272003,52.734608,2549850
2000-06-30,78.666000,82.334000,77.994003,81.872002,56.606445,1489875
2000-07-03,83.328003,85.260002,82.194000,85.260002,58.948929,809025
2000-07-04,85.666000,85.862000,81.872002,83.664001,57.845463,443325
2000-07-05,84.671997,84.671997,81.662003,82.459999,57.013000,1300500
